FIRMS_confidence,latitude,longitude,Mean_estimated_fire_brightness,Precipitation,RelativeHumidity,SolarWaterContent,SolarRadiation,Temperature,WindSpeed,confidence
75,-32.80351,149.91483,315.03,0.0,69,0.156,0.0,2.2,5.5,81.28724
67,-32.79987,149.90967,317.13,0.0,69,0.156,0.0,2.2,5.5,79.44798
